uid	Society
0	DUMMY-LINE-NO-HOBBY
1	Acapella Choir
2	Acting
3	Aircraft spotting
4	Amateur dramatics
5	Anime
6	Antiques
7	Archery
8	Art
9	Astrology
10	Astronomy
11	Badminton
12	Basketball
13	Bass guitar
14	Beach volleyball
15	Beekeeping
16	Big band
17	Billiards
18	Bird watching
19	Blacksmithing
20	Bonsai
21	Book collecting
22	Boxing
23	Brazilian jiu-jitsu
24	Breakdancing
25	Broomstick Sports
26	Cabaret
27	Calligraphy
28	Camping
29	Candle making
30	Card games
31	Carpentry
32	Cello
33	Cheerleading
34	Chess
35	Circus Skills
36	Clarinet
37	Climbing
38	Coffee roasting
39	Coin collecting
40	College Libertarians
41	College Radio
42	Comic books
43	Community Outreach
44	Cooking
45	Cosplay
46	Creative writing
47	Crossword puzzles
48	Cryptography
49	Cycling
50	Dancing
51	Darts
52	Debating
53	Drone flying
54	Drums
55	EDM
56	Electric guitar
57	Electronics
58	Embroidery
59	Entrepreneurship
60	Environmentalism
61	eSports
62	Faith
63	Fashion
64	Feminism
65	Fencing
66	Figure skating
67	Fishing
68	Fishkeeping
69	Flag Football
70	Flower arranging
71	Flute
72	Foosball
73	Foraging
74	Fossil hunting
75	Gardening
76	Genealogy
77	General knowledge
78	Ghost hunting
79	Glassblowing
80	Glee Choir
81	Golf
82	Graffiti
83	Guitar
84	Gymnastics
85	Hiking
86	Hip-hop
87	Historical Reenactment
88	Horse riding
89	House DJ
90	Hunting
91	Hydroponics
92	Ice skating
93	Insect collecting
94	Interfaith Council
95	Jewellery making
96	Jigsaws
97	Judo
98	Juggling
99	Karate
100	Kart racing
101	Kayaking
102	Kendo
103	Kite flying
104	Kitesurfing
105	Knife throwing
106	Knitting
107	Lacrosse
108	LARPing
109	Laser tag
110	Lawn bowls
111	LGBTQIA+
112	LGBTQIA+ Allies
113	Line Dancing
114	Magic
115	Manga
116	Metal detecting
117	Mock Trial
118	Model U.N.
119	Modern Art
120	Mountain biking
121	Mountaineering
122	Movies
123	Mushroom hunting
124	Musical instruments
125	Nine pin bowling
126	Nuclear Disarmament
127	Origami
128	Paintball
129	Painting
130	Parkour
131	Peace Coalition
132	Photography
133	Piano
134	Poker
135	Polo
136	Pool
137	Postcard collecting
138	Pottery
139	Programming
140	Quilting
141	Racial Justice
142	Rafting
143	Rap Battle
144	Reading
145	Record collecting
146	Retro videogames
147	Rock climbing
148	Roller skating
149	Rowing
150	Sailing
151	Saxophone
152	Scrapbooking
153	Scuba diving
154	Sculpting
155	Seashell collecting
156	Secret Society
157	Sewing
158	Shooting
159	Silent Disco
160	Singing
161	Skateboarding
162	Sketching
163	Skydiving
164	Soapmaking
165	Soccer
166	Social Justice
167	Squash
168	Stamp collecting
169	Stand-up comedy
170	Step Dance
171	Student Mentors
172	Student Newspaper
173	Student Union
174	Surfing
175	Swimming
176	Table tennis
177	Table-top gaming
178	Taekwondo
179	Tai chi
180	Taxidermy
181	Ten pin bowling
182	Theater Set Building
183	Topiary
184	Toy brick building
185	Toy collecting
186	Trainspotting
187	Trumpet
188	Ukulele
189	Ultimate Flying Disc
190	Unicycling
191	Veganism
192	Vehicle restoration
193	Videogames
194	Vintage cars
195	Violin
196	Volleyball
197	Whittling
198	Wood carving
199	Yoga
1000	Sigma Epsilon Omicron
1001	Kappa Delta Sigma
1002	Theta Gamma Zeta
1003	Gamma Epsilon Upsilon
1004	Chi Omicron Alpha
1005	Kappa Omicron Phi
1006	Pi Phi Pi
1007	Zeta Phi Iota
1008	Mu Mu Chi
1009	Epsilon Tau Delta
1010	Kappa Zeta Chi
1011	Upsilon Lambda Phi
1012	Tau Epsilon Delta
1013	Beta Sigma Zeta
1014	Epsilon Theta Iota
1015	Omicron Chi Beta
1016	Zeta Chi Omicron
1017	Phi Phi Zeta
1018	Theta Delta Gamma
1019	Beta Sigma Beta
1020	Zeta Gamma Tau
1021	Zeta Upsilon Zeta
1022	Lambda Chi Upsilon
1023	Mu Iota Xi
1024	Theta Kappa Upsilon
1025	Upsilon Xi Mu
1026	Theta Zeta Zeta
1027	Alpha Epsilon Alpha
1028	Mu Theta Sigma
1029	Gamma Gamma Xi
