uid	name	conference	division	colhelmet	colshirt	colpants	coltertiary	tla	defense	offense	wins	losses	ties	roof	rainfall	snowfall	helmet	rival	academics	type	state	reputation_int	reputation
0	Cincinnati	0	0	$000000	$000000	$000000	$ffffff	CIN	7	4	0	0	0	0	42	14	0	-1	0	0	OH	1	0001
1	E. Carolina	0	0	$592a8a	$592a8a	$ffffff	$fdc82f	E.C	2	3	0	0	0	0	50	0	0	-1	0	0	NC	0	0000
2	Houston	0	0	$c8102e	$c8102e	$ffffff	$ffffff	HOU	2	5	0	0	0	0	51	0	0	27	0	0	TX	0	0000
3	Memphis	0	0	$003087	$003087	$ffffff	$ffffff	MEM	5	8	0	0	0	0	46	1	0	-1	0	0	TN	0	0000
4	Navy	0	1	$c5b783	$00205b	$c5b783	$ffffff	NAV	6	7	0	0	0	0	43	13	0	-1	2	Military	MD	0	0000
5	Southern M.	0	1	$ffffff	$c8102e	$ffffff	$0033a0	SOM	3	8	0	0	0	0	31	1	0	-1	0	Religious	TX	0	0000
6	S. Florida	0	1	$cfc493	$006747	$006747	$ffffff	SFL	4	2	0	0	0	0	50	0	0	10	0	0	FL	0	0000
7	Philadelphia	0	1	$9d2235	$9d2235	$9d2235	$ffffff	PHI	5	3	0	0	0	0	47	15	0	-1	1	0	PA	0	0000
8	New Orleans	0	2	$ffffff	$006747	$ffffff	$418fde	N.O	5	5	0	0	0	0	50	0	0	-1	2	0	LA	0	0000
9	Tulsa	0	2	$c5b783	$002d72	$ffffff	$c8102e	TUL	3	3	0	0	0	0	35	1	0	-1	0	Religious	OK	0	0000
10	C. Florida	0	2	$ba9b37	$303030	$303030	$ffffff	CFL	6	9	0	0	0	0	50	0	0	6	0	0	FL	0	0000
11	Waco	0	2	$003015	$003015	$003015	$fecb00	WAC	7	6	0	0	0	0	43	0	0	17	0	Religious	TX	1	0001
12	Iowa S.	0	3	$c8102e	$c8102e	$c8102e	$f1be48	IAS	5	5	0	0	0	0	36	29	0	-1	0	0	IA	0	0010
13	Kansas	0	3	$0051ba	$0051ba	$0051ba	$e8000d	KS.	2	2	0	0	0	0	36	15	0	14	0	0	KS	0	0000
14	Kansas S.	0	3	$d1d1d1	$512888	$d1d1d1	$ffffff	KAS	7	4	0	0	0	0	36	15	0	13	0	0	KS	0	0000
15	Oklahoma	0	3	$841617	$841617	$ffffff	$ffffff	OK.	5	8	0	0	0	0	33	4	0	18	0	0	OK	3	1110
16	Oklahoma S.	1	0	$ffffff	$ff7300	$ffffff	$000000	OKS	5	5	0	0	0	0	34	4	0	15	0	0	OK	1	0001
17	Ft. Worth	1	0	$606060	$4d1979	$000000	$ffffff	FTW	5	4	0	0	0	0	31	1	0	11	0	Religious	TX	0	0000
18	Texas	1	0	$ffffff	$bf5700	$ffffff	$bf5700	TX.	5	6	0	0	0	0	30	0	0	15	0	0	TX	1	1000
19	Texas T.	1	0	$cc0000	$cc0000	$cc0000	$000000	TXT	4	5	0	0	0	0	24	1	0	-1	0	0	TX	0	0000
20	W. Virginia	1	1	$002855	$eaaa00	$eaaa00	$eaaa00	WVA	4	1	0	0	0	0	45	15	0	-1	0	0	WV	0	0000
21	Charlotte	1	1	$ffffff	$046a38	$ffffff	$000000	CHA	3	4	0	0	0	0	44	2	0	-1	0	0	NC	0	0000
22	Florida I.	1	1	$081e3f	$081e3f	$081e3f	$b6862c	FLI	5	3	0	0	0	0	50	0	0	23	0	0	FL	0	0000
23	Florida A.	1	1	$003366	$003366	$ffffff	$cc0000	FLA	6	6	0	0	0	0	50	0	0	22	0	0	FL	0	0000
24	Louisiana T.	1	2	$ffffff	$002f8b	$ffffff	$e31b23	LAT	7	5	0	0	0	0	60	0	0	-1	0	0	LA	0	0000
25	M. Tennessee	1	2	$666666	$0066cc	$ffffff	$0066cc	MTN	4	3	0	0	0	0	45	2	0	31	0	0	TN	0	0000
26	N. Texas	1	2	$00853e	$00853e	$ffffff	$000000	NTX	3	5	0	0	0	0	32	1	0	-1	0	0	TX	0	0000
27	Houston R.	1	2	$00205b	$00205b	$ffffff	$c1c6c8	H.R	5	1	0	0	0	0	51	0	0	2	2	0	TX	0	0000
28	Alabama B.	1	3	$cca800	$006341	$cca800	$000000	ALB	7	2	0	0	0	0	40	0	0	-1	0	0	AL	0	0000
29	Texas E.P.	1	3	$ff8200	$041e42	$ff8200	$ffffff	TEP	2	1	0	0	0	0	10	1	0	-1	0	0	TX	0	0000
30	Texas S.A.	1	3	$0c2340	$0c2340	$ffffff	$f15a22	TSA	2	1	0	0	0	2	20	0	0	-1	0	0	TX	0	0000
31	W. Kentucky	1	3	$1e1e1e	$c603c0	$ffffff	$a2a4a3	WKY	7	3	0	0	0	0	35	2	0	25	0	0	KY	0	0000
