uid	name	conference	division	colhelmet	colshirt	colpants	coltertiary	tla	defense	offense	wins	losses	ties	roof	rainfall	snowfall	helmet	rival	academics	type	state	reputation_int	reputation
32	Boston C.	2	0	$bc9b6a	$98002e	$bc9b6a	$ffffff	B.C	3	4	0	0	0	0	40	89	0	33	1	0	MA	0	0000
33	Clemson	2	0	$f26635	$f26635	$ffffff	$ffffff	CLM	10	9	0	0	0	0	44	2	0	148	0	0	SC	3	1110
34	Durham	2	1	$333399	$333399	$333399	$ffffff	DUR	4	3	0	0	0	0	44	2	0	40	2	0	NC	0	0000
35	Florida S.	2	0	$782f40	$782f40	$782f40	$ceb888	FLS	5	4	0	0	0	0	50	0	0	38	0	0	FL	0	0000
36	Georgia T.	2	1	$b3a369	$b3a369	$ffffff	$000000	GAT	3	1	0	0	0	0	51	1	0	142	1	0	GA	0	0000
37	Louisville	2	0	$ad0000	$ad0000	$ffffff	$ffffff	LOU	3	5	0	0	0	0	0	0	0	143	0	0	KY	0	0000
38	Miami FL	2	1	$ffffff	$f47321	$ffffff	$005030	MIA	7	3	0	0	0	0	59	0	0	35	0	0	FL	0	0000
39	N.C. S.	2	0	$ffffff	$c00000	$c00000	$000000	NCS	4	2	0	0	0	0	44	2	0	40	0	0	NC	0	0000
40	N.C.	2	1	$7bafd4	$7bafd4	$7bafd4	$ffffff	N.C	6	5	0	0	0	0	44	2	0	34	0	0	NC	0	0000
41	Pittsburgh	2	1	$ffb81c	$003594	$ffb81c	$003594	PIT	6	2	0	0	0	0	38	27	0	77	1	0	PA	0	0000
42	Syracuse	2	0	$ffffff	$d44500	$d44500	$000000	SYR	4	4	0	0	0	2	40	65	0	-1	0	0	NY	0	0000
43	Virginia	2	1	$ffffff	$232d4b	$ffffff	$f84c1e	VA.	5	5	0	0	0	0	43	1	0	44	1	0	VA	0	0000
44	Virginia T.	2	1	$630031	$630031	$ffffff	$cf4420	VAT	6	5	0	0	0	0	38	1	0	43	0	0	VA	0	0000
45	Winston S.	2	0	$9e7e38	$000000	$9e7e38	$ffffff	WAF	4	5	0	0	0	0	44	1	0	40	1	0	NC	0	0000
46	Cincinnati	3	0	$000000	$000000	$000000	$ffffff	CIN	7	4	0	0	0	0	42	14	0	109	0	0	OH	1	0001
47	E. Carolina	3	0	$592a8a	$592a8a	$ffffff	$fdc82f	E.C	2	3	0	0	0	0	50	0	0	-1	0	0	NC	0	0000
48	Houston	3	0	$c8102e	$c8102e	$ffffff	$ffffff	HOU	2	5	0	0	0	0	51	0	0	89	0	0	TX	0	0000
49	Memphis	3	0	$003087	$003087	$ffffff	$ffffff	MEM	5	8	0	0	0	0	46	1	0	-1	0	0	TN	0	0000
50	Navy	3	0	$c5b783	$00205b	$c5b783	$ffffff	NAV	6	7	0	0	0	0	43	13	0	96	2	Military	MD	0	0000
51	Southern M.	3	0	$ffffff	$c8102e	$ffffff	$0033a0	SOM	3	8	0	0	0	0	31	1	0	-1	0	Religious	TX	0	0000
52	S. Florida	3	0	$cfc493	$006747	$006747	$ffffff	SFL	4	2	0	0	0	0	50	0	0	56	0	0	FL	0	0000
