	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
32	Boston C.	B.C	$bc9b6a	$98002e	$98002e	$98002e	$bc9b6a	$ffffff	$bc9b6a	$bc9b6a	$dfdfdf	$98002e	$ffffff	$ffffff	$dfdfdf	$98002e	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	89	$98002e
33	Clemson	CLM	$f26635	$f26635	$f26635	$f26635	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$f26635	$ffffff	$ffffff	$dfdfdf	$f26635	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$f26635
34	Durham	DUR	$333399	$333399	$333399	$333399	$333399	$ffffff	$333399	$333399	$dfdfdf	$333399	$ffffff	$ffffff	$dfdfdf	$333399	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$333399
35	Florida S.	FLS	$782f40	$782f40	$782f40	$782f40	$782f40	$ceb888	$782f40	$782f40	$dfdfdf	$782f40	$ffffff	$ffffff	$dfdfdf	$782f40	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$782f40
36	Georgia T.	GAT	$b3a369	$b3a369	$b3a369	$b3a369	$ffffff	$000000	$ffffff	$ffffff	$dfdfdf	$b3a369	$ffffff	$ffffff	$dfdfdf	$b3a369	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	51	1	$b3a369
37	Louisville	LOU	$ad0000	$ad0000	$ad0000	$ad0000	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$ad0000	$ffffff	$ffffff	$dfdfdf	$ad0000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	0	0	$ad0000
38	Miami FL	MIA	$ffffff	$f47321	$f47321	$f47321	$ffffff	$005030	$ffffff	$ffffff	$dfdfdf	$f47321	$ffffff	$ffffff	$dfdfdf	$f47321	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	59	0	$f47321
39	N.C. S.	NCS	$ffffff	$c00000	$c00000	$c00000	$c00000	$000000	$c00000	$c00000	$dfdfdf	$c00000	$ffffff	$ffffff	$dfdfdf	$c00000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$c00000
40	N.C.	N.C	$7bafd4	$7bafd4	$7bafd4	$7bafd4	$7bafd4	$ffffff	$7bafd4	$7bafd4	$dfdfdf	$7bafd4	$ffffff	$ffffff	$dfdfdf	$7bafd4	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$7bafd4
41	Pittsburgh	PIT	$ffb81c	$003594	$003594	$003594	$ffb81c	$003594	$ffb81c	$ffb81c	$dfdfdf	$003594	$ffffff	$ffffff	$dfdfdf	$003594	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	27	$003594
42	Syracuse	SYR	$ffffff	$d44500	$d44500	$d44500	$d44500	$000000	$d44500	$d44500	$dfdfdf	$d44500	$ffffff	$ffffff	$dfdfdf	$d44500	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	2	40	65	$d44500
43	Virginia	VA.	$ffffff	$232d4b	$232d4b	$232d4b	$ffffff	$f84c1e	$ffffff	$ffffff	$dfdfdf	$232d4b	$ffffff	$ffffff	$dfdfdf	$232d4b	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	43	1	$232d4b
44	Virginia T.	VAT	$630031	$630031	$630031	$630031	$ffffff	$cf4420	$ffffff	$ffffff	$dfdfdf	$630031	$ffffff	$ffffff	$dfdfdf	$630031	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	1	$630031
45	Winston S.	WAF	$9e7e38	$000000	$000000	$000000	$9e7e38	$ffffff	$9e7e38	$9e7e38	$dfdfdf	$000000	$ffffff	$ffffff	$dfdfdf	$000000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	1	$000000
46	Cincinnati	CIN	$000000	$000000	$000000	$000000	$000000	$ffffff	$000000	$000000	$dfdfdf	$000000	$ffffff	$ffffff	$dfdfdf	$000000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	42	14	$000000
47	E. Carolina	E.C	$592a8a	$592a8a	$592a8a	$592a8a	$ffffff	$fdc82f	$ffffff	$ffffff	$dfdfdf	$592a8a	$ffffff	$ffffff	$dfdfdf	$592a8a	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$592a8a
48	Houston	HOU	$c8102e	$c8102e	$c8102e	$c8102e	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$c8102e	$ffffff	$ffffff	$dfdfdf	$c8102e	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	51	0	$c8102e
49	Memphis	MEM	$003087	$003087	$003087	$003087	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$003087	$ffffff	$ffffff	$dfdfdf	$003087	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	46	1	$003087
50	Navy	NAV	$c5b783	$00205b	$00205b	$00205b	$c5b783	$ffffff	$c5b783	$c5b783	$dfdfdf	$00205b	$ffffff	$ffffff	$dfdfdf	$00205b	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	43	13	$00205b
51	Southern M.	SOM	$ffffff	$c8102e	$c8102e	$c8102e	$ffffff	$0033a0	$ffffff	$ffffff	$dfdfdf	$c8102e	$ffffff	$ffffff	$dfdfdf	$c8102e	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	31	1	$c8102e
52	S. Florida	SFL	$cfc493	$006747	$006747	$006747	$006747	$ffffff	$006747	$006747	$dfdfdf	$006747	$ffffff	$ffffff	$dfdfdf	$006747	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$006747
53	Philadelphia	PHI	$9d2235	$9d2235	$9d2235	$9d2235	$9d2235	$ffffff	$9d2235	$9d2235	$dfdfdf	$9d2235	$ffffff	$ffffff	$dfdfdf	$9d2235	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	47	15	$9d2235
54	New Orleans	N.O	$ffffff	$006747	$006747	$006747	$ffffff	$418fde	$ffffff	$ffffff	$dfdfdf	$006747	$ffffff	$ffffff	$dfdfdf	$006747	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$006747
55	Tulsa	TUL	$c5b783	$002d72	$002d72	$002d72	$ffffff	$c8102e	$ffffff	$ffffff	$dfdfdf	$002d72	$ffffff	$ffffff	$dfdfdf	$002d72	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	35	1	$002d72
56	C. Florida	CFL	$ba9b37	$303030	$303030	$303030	$303030	$ffffff	$303030	$303030	$dfdfdf	$303030	$ffffff	$ffffff	$dfdfdf	$303030	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$303030
57	Waco	WAC	$003015	$003015	$003015	$003015	$003015	$fecb00	$003015	$003015	$dfdfdf	$003015	$ffffff	$ffffff	$dfdfdf	$003015	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	43	0	$003015
58	Iowa S.	IAS	$c8102e	$c8102e	$c8102e	$c8102e	$c8102e	$f1be48	$c8102e	$c8102e	$dfdfdf	$c8102e	$ffffff	$ffffff	$dfdfdf	$c8102e	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	36	29	$c8102e
59	Kansas	KS.	$0051ba	$0051ba	$0051ba	$0051ba	$0051ba	$e8000d	$0051ba	$0051ba	$dfdfdf	$0051ba	$ffffff	$ffffff	$dfdfdf	$0051ba	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	36	15	$0051ba
